ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11541022,JB560462,12/19/2018 21:56,014XX E 56TH ST,320,ROBBERY,STRONGARM - NO WEAPON,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,235,2,5,41,3,1186997,1868163,2018,12/26/2018 16:22,41.79334723,-87.58982957,"(41.793347225, -87.589829568)"
11296335,JB238718,4/26/2018 4:00,014XX E 56TH ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,235,2,5,41,5,1187047,1868164,2018,5/4/2018 15:51,41.79334878,-87.58964619,"(41.793348782, -87.589646194)"
11402539,JB378734,8/3/2018 21:00,014XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1187025,1868164,2018,8/10/2018 16:09,41.79334931,-87.58972686,"(41.793349305, -87.589726864)"
11262155,JB193761,3/20/2018 18:00,015XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187721,1868175,2018,5/4/2018 15:51,41.79336294,-87.58717439,"(41.793362941, -87.587174386)"
11199910,JB110579,1/9/2018 21:00,015XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187784,1868176,2018,5/4/2018 15:51,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11201004,JB111923,1/10/2018 17:00,015XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187784,1868176,2018,5/4/2018 15:51,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11310449,JB257338,5/9/2018 22:19,015XX E 56TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,235,2,5,41,26,1187784,1868176,2018,5/16/2018 16:12,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11371320,JB337903,7/6/2018 11:30,015XX E 56TH ST,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,235,2,5,41,08B,1187784,1868176,2018,7/13/2018 15:50,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11452543,JB442600,9/7/2018 16:30,015XX E 56TH ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,235,2,5,41,08A,1187784,1868176,2018,9/23/2018 15:56,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11454976,JB446696,9/22/2018 17:45,015XX E 56TH ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESTAURANT,FALSE,FALSE,235,2,5,41,26,1187784,1868176,2018,9/29/2018 15:59,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11465751,JB461092,10/3/2018 14:48,015XX E 56TH ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,235,2,5,41,08A,1187784,1868176,2018,10/10/2018 16:06,41.79336418,-87.58694334,"(41.793364184, -87.586943342)"
11224855,JB142772,2/1/2018 8:20,015XX E 56TH ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,235,2,5,41,08A,1187812,1868177,2018,5/4/2018 15:51,41.79336626,-87.58684064,"(41.793366261, -87.586840639)"
11233730,JB156313,2/17/2018 15:00,015XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187812,1868177,2018,5/4/2018 15:51,41.79336626,-87.58684064,"(41.793366261, -87.586840639)"
11304036,JB248425,5/2/2018 19:30,016XX E 56TH ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,331,3,5,41,3,1188001,1868188,2018,5/9/2018 15:51,41.79339194,-87.58614725,"(41.79339194, -87.586147253)"
11233770,JB156345,2/17/2018 16:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,331,3,5,41,14,1187989,1868188,2018,5/4/2018 15:51,41.79339223,-87.58619126,"(41.793392227, -87.586191256)"
11224006,JB142748,2/5/2018 17:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188096,1868190,2018,5/4/2018 15:51,41.79339516,-87.58579884,"(41.793395162, -87.585798839)"
11264658,JB196948,3/23/2018 5:15,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,235,2,5,41,14,1188074,1868190,2018,5/4/2018 15:51,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11384715,JB355666,7/18/2018 7:16,016XX E 56TH ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,7/25/2018 15:55,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11442111,JB429945,8/17/2018 14:00,016XX E 56TH ST,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,9/13/2018 15:56,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11485018,JB486685,10/18/2018 19:00,016XX E 56TH ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,10/26/2018 16:01,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11488042,JB490553,10/25/2018 9:15,016XX E 56TH ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,11/1/2018 16:12,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11490541,JB493940,10/11/2018 18:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,10/31/2018 16:10,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11501945,JB508620,11/7/2018 16:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,11/14/2018 16:11,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11502760,JB509979,9/24/2018 0:01,016XX E 56TH ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,235,2,5,41,6,1188074,1868190,2018,11/14/2018 16:03,41.79339569,-87.58587951,"(41.793395687, -87.585879509)"
11233783,JB156428,2/17/2018 21:30,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188313,1868195,2018,5/4/2018 15:51,41.7934037,-87.58500297,"(41.793403702, -87.585002972)"
11266477,JB199387,3/24/2018 17:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188313,1868195,2018,5/4/2018 15:51,41.7934037,-87.58500297,"(41.793403702, -87.585002972)"
11204781,JB117201,1/10/2018 19:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
